Class	PixelSum	Percentage %	Area [metre^2]
1.0	685	8.87535630992485	616500.0
2.0	4104	53.17439751230889	3693600.0
3.0	2544	32.961907229852294	2289600.0
4.0	362	4.690334283493133	325800.0
5.0	23	0.29800466442083445	20700.0
